Tissue	project	num_samples	rail_ids
Lung	SRP012682	374	50103,50109,50140,50192,50199,50207,50217,50224,50244,50266,50348,50364,50433,50443,50452,50470,50489,50491,50505,50526,50597,50604,50623,50640,50674,50678,50736,50747,50792,50839,50873,50893,50921,50925,50932,50959,50988,51001,51003,51020,51087,51090,51101,51128,51129,51163,51175,51200,51204,51219,51248,51272,51296,51305,51314,51320,51360,51373,51383,51403,51423,51428,51446,51533,51541,51568,51581,51674,51692,51712,51745,51750,51776,51798,51861,51869,51890,51898,51921,51925,51944,51954,51968,51969,52036,52039,52041,52049,52061,52103,52208,52221,52226,52248,52329,52342,52345,52358,52395,52409,52465,52491,52529,52537,52546,52677,52739,52808,52809,52827,52842,52880,52890,52907,52915,53007,53011,53017,53018,53032,53060,53065,53089,53105,53120,53147,53160,53163,53165,53184,53284,53293,53300,53318,53335,53367,53369,53388,53411,53418,53443,53499,53511,53538,53576,53624,53626,53697,53700,53745,53802,53847,53864,53878,53884,53961,53963,53968,53984,54003,54010,54013,54018,54030,54052,54081,54108,54112,54143,54196,54243,54282,54284,54304,54510,54551,54596,54631,54649,54699,54751,54769,54770,54784,54805,54812,54830,54831,54848,54928,54930,54932,54933,54967,54976,54983,54984,54999,55012,55048,55051,55073,55082,55113,55123,55125,55175,55196,55252,55254,55269,55296,55328,55336,55359,55366,55394,55492,55495,55498,55504,55573,55615,55623,55660,55676,55750,55816,55825,55850,55872,55980,55995,56002,56038,56057,56075,56088,56106,56147,56149,56180,56196,56197,56209,56244,56262,56281,56290,56322,56336,56348,56381,56437,56456,56477,56479,56536,56538,56545,56551,56560,56590,56594,56597,56617,56621,56645,56657,56660,56667,56777,56813,56838,56871,56878,56883,56886,56900,56912,56936,57000,57008,57010,57013,57014,57042,57069,57120,57128,57161,57184,57185,57191,57199,57248,57249,57309,57326,57328,57368,57381,57394,57422,57443,57490,57511,57514,57556,57601,57669,57841,57900,57908,57929,57951,58060,58099,58105,58110,58135,58169,58203,58242,58255,58359,58447,58456,58505,58525,58555,58597,58613,58619,58629,58753,58765,58784,58796,58811,58820,58829,58831,58851,58905,58921,58936,58962,58965,58995,59059,59072,59074,59077,59124,59143,59161,59163,59164,59227,59266,59331,59338,59407,59419,59450,59466,59488,59493,59525,59529,59538,59648,59717
Muscle	SRP012682	475	50108,50123,50129,50153,50156,50166,50175,50200,50211,50256,50270,50299,50398,50426,50435,50442,50450,50550,50564,50598,50606,50612,50613,50648,50675,50686,50706,50717,50722,50752,50755,50762,50811,50819,50843,50862,50864,50879,50890,50905,50964,51013,51027,51048,51070,51079,51085,51100,51108,51123,51143,51146,51170,51184,51198,51201,51206,51209,51277,51291,51381,51390,51394,51424,51438,51458,51465,51487,51508,51527,51529,51546,51556,51611,51621,51636,51646,51669,51691,51696,51707,51709,51759,51760,51763,51767,51770,51771,51774,51789,51827,51848,51863,51873,51874,51892,51896,51941,52008,52015,52042,52044,52052,52066,52096,52098,52104,52111,52117,52120,52151,52153,52155,52161,52178,52186,52199,52205,52237,52270,52271,52276,52293,52324,52387,52408,52414,52423,52509,52539,52559,52578,52581,52594,52616,52622,52713,52733,52746,52747,52761,52779,52813,52828,52833,52863,52893,52941,52943,52972,53002,53014,53040,53046,53062,53083,53085,53119,53121,53127,53136,53148,53166,53259,53264,53288,53353,53364,53420,53425,53459,53460,53471,53539,53543,53550,53553,53601,53658,53668,53692,53712,53743,53765,53794,53854,53858,53880,53886,53896,53915,53940,53974,53978,53992,54000,54019,54151,54249,54254,54305,54308,54318,54342,54401,54409,54492,54509,54517,54539,54619,54647,54650,54657,54685,54691,54697,54700,54726,54727,54762,54789,54798,54810,54850,54867,54875,54940,54969,54977,54994,55009,55031,55065,55071,55076,55091,55146,55168,55199,55294,55326,55337,55349,55367,55375,55378,55407,55452,55462,55476,55484,55515,55519,55522,55527,55534,55544,55582,55586,55611,55628,55635,55662,55668,55679,55702,55709,55721,55730,55761,55764,55783,55803,55846,55873,55898,55904,55934,55941,55962,55978,55986,56017,56019,56020,56021,56027,56032,56049,56084,56163,56214,56232,56268,56299,56316,56325,56338,56340,56361,56371,56377,56382,56417,56422,56447,56476,56488,56498,56515,56548,56554,56555,56579,56580,56592,56605,56607,56663,56702,56714,56724,56726,56754,56774,56785,56786,56798,56829,56890,56895,56937,56947,56949,56962,56963,56973,57002,57030,57037,57087,57115,57151,57190,57193,57195,57198,57229,57234,57275,57280,57281,57300,57323,57331,57344,57363,57380,57389,57414,57505,57531,57567,57575,57614,57615,57644,57654,57657,57676,57689,57708,57711,57722,57738,57747,57753,57782,57792,57864,57872,57892,57896,57978,57980,57984,57997,58011,58064,58068,58116,58131,58140,58154,58172,58179,58209,58217,58248,58249,58254,58276,58354,58368,58391,58395,58396,58408,58427,58440,58455,58457,58472,58501,58552,58579,58581,58584,58599,58604,58606,58607,58612,58630,58643,58689,58751,58781,58798,58801,58834,58836,58838,58855,58883,58890,58903,58906,58970,58981,58988,59005,59018,59033,59043,59058,59082,59137,59140,59145,59152,59204,59217,59218,59238,59253,59254,59290,59440,59457,59463,59497,59512,59531,59537,59544,59566,59575,59580,59606,59631,59633,59668,59709
NA	SRP012682	5	50764,50951,51766,53549,54089
Nerve	SRP012682	335	50102,50107,50118,50137,50171,50177,50188,50285,50290,50308,50316,50367,50378,50408,50416,50420,50432,50436,50478,50502,50509,50543,50565,50610,50632,50650,50744,50852,50868,50882,50900,50936,50944,50956,50974,51000,51180,51213,51221,51224,51249,51264,51280,51297,51384,51421,51431,51445,51469,51475,51485,51500,51524,51602,51605,51606,51612,51624,51690,51708,51747,51794,51881,51891,51909,51910,51932,51937,52017,52060,52073,52118,52129,52137,52147,52193,52218,52228,52246,52275,52287,52296,52330,52339,52350,52404,52405,52420,52447,52451,52476,52493,52496,52501,52527,52557,52558,52569,52582,52624,52687,52756,52777,52831,52965,53010,53027,53049,53086,53106,53202,53294,53342,53378,53396,53415,53489,53494,53551,53560,53604,53620,53621,53653,53702,53792,53827,53856,53888,53973,54001,54031,54035,54043,54077,54091,54105,54133,54156,54230,54334,54335,54346,54382,54431,54459,54525,54563,54574,54575,54653,54666,54705,54771,54838,54839,54905,54917,54979,54987,55027,55041,55086,55145,55147,55165,55190,55201,55235,55242,55277,55278,55292,55371,55383,55387,55398,55415,55416,55417,55423,55450,55463,55464,55637,55696,55728,55739,55755,55759,55776,55808,55909,55942,55987,55997,56022,56033,56039,56040,56041,56066,56079,56120,56135,56136,56161,56270,56287,56294,56300,56311,56353,56405,56416,56421,56425,56429,56453,56549,56608,56609,56613,56615,56618,56715,56716,56727,56736,56743,56794,56799,56801,56879,56882,56913,56915,56926,56976,56982,56983,56985,57033,57046,57054,57095,57096,57155,57168,57186,57197,57231,57271,57424,57568,57571,57605,57691,57763,57839,57893,58021,58029,58032,58044,58052,58141,58171,58177,58193,58213,58233,58259,58267,58269,58274,58287,58304,58322,58367,58369,58426,58428,58444,58451,58515,58540,58545,58553,58561,58588,58626,58646,58651,58666,58679,58681,58750,58759,58770,58840,58866,58872,58874,58895,58937,58953,58967,58969,59017,59029,59088,59116,59130,59162,59183,59195,59256,59289,59297,59299,59356,59385,59475,59490,59503,59508,59536,59551,59593,59622,59693,59732,59741,59743
Ovary	SRP012682	108	50132,50149,50305,50449,50547,50566,50659,50669,50673,50689,50870,50939,50981,51042,51058,51270,51302,51340,51344,51358,51405,51521,51632,51914,51915,51928,52133,52348,52563,52631,52655,52755,52838,53074,53382,53413,53609,53625,53892,53895,53936,53975,54049,54057,54078,54118,54340,54394,54507,54659,54788,54807,54846,54864,54904,54923,55020,55162,55290,55408,55494,55699,55745,55753,55815,55826,56045,56124,56125,56202,56365,56459,56474,56651,56861,56893,56931,57023,57367,57376,57491,57541,57700,57720,57754,58034,58039,58090,58093,58137,58167,58227,58361,58461,58507,58518,58585,58620,58625,58782,58880,58997,59019,59246,59271,59311,59341,59437
Pancreas	SRP012682	197	50148,50234,50303,50375,50427,50471,50473,50576,50658,50721,50847,50895,50906,51054,51216,51230,51232,51238,51255,51352,51370,51374,51630,51694,51751,51817,51860,51927,52078,52145,52231,52333,52355,52436,52515,52524,52606,52629,52639,52658,52731,52769,52839,52843,52897,52925,52973,53059,53178,53269,53407,53424,53439,53502,53521,53605,53611,53643,53666,53705,53764,53789,53823,53833,53876,53901,53941,54037,54075,54093,54138,54299,54325,54365,54376,54400,54448,54486,54557,54576,54585,54603,54742,54793,54801,54825,54919,54935,55001,55032,55101,55179,55240,55244,55291,55301,55317,55334,55361,55403,55420,55456,55516,55551,55576,55599,55621,55633,55654,55677,55685,55781,55792,55796,55810,55818,55819,55849,55892,55919,56004,56058,56096,56213,56239,56285,56329,56335,56341,56388,56397,56626,56659,56676,56706,56718,56824,56848,56958,57019,57068,57129,57163,57233,57235,57399,57411,57474,57525,57558,57604,57703,57760,57783,57922,57973,57987,58016,58026,58084,58100,58127,58129,58153,58375,58551,58564,58699,58724,58764,58772,58775,58864,58865,58875,58894,58917,58954,58966,59011,59110,59115,59171,59174,59214,59257,59307,59312,59412,59424,59565,59583,59618,59626,59664,59667,59756
Pituitary	SRP012682	124	50142,50147,50173,50302,50461,50465,50527,50572,50627,50641,50720,50884,50976,51044,51083,51234,51478,51507,51657,51664,51924,51973,52003,52007,52135,52136,52190,52250,52310,52416,52486,52799,52861,52923,52958,52975,52993,53075,53090,53132,53230,53237,53280,53400,53412,53571,53578,53588,53747,53817,53921,53957,54061,54120,54181,54252,54283,54472,54532,54545,54601,54860,54878,54960,55016,55043,55083,55131,55332,55379,55738,55822,55926,56071,56102,56140,56169,56193,56227,56238,56271,56315,56373,56375,56418,56462,56509,56746,56761,56771,56809,56935,56938,56984,56993,57070,57207,57252,57412,57561,57594,57632,57692,57767,57949,57970,58055,58092,58199,58325,58355,58436,58437,58470,58537,58563,58645,58709,58769,58884,59229,59316,59445,59577
Prostate	SRP012682	119	50128,50157,50356,50368,50529,50608,50716,50757,50806,50938,51032,51063,51263,51286,51318,51439,51454,51497,51555,51887,51949,51961,51964,51970,52124,52219,52242,52265,52347,52389,52421,52566,52681,52696,52757,52816,52864,52872,52969,52983,52987,53211,53272,53299,53301,53455,53461,53519,53589,53606,53689,53746,54015,54213,54266,54420,54549,54602,54754,54871,54914,55109,55443,55570,55851,55889,55890,56008,56054,56083,56093,56265,56342,56464,56568,56593,56675,56689,56756,56852,56853,56965,56999,57016,57092,57105,57172,57204,57239,57254,57264,57312,57387,57485,57661,57693,57713,57890,58098,58136,58335,58348,58356,58383,58459,58755,58761,58893,58923,59053,59087,59100,59264,59300,59305,59586,59619,59713,59758
Salivary_Gland	SRP012682	70	50150,50220,50506,50665,50948,51059,51182,51218,51290,51310,51311,51317,51744,52202,52260,52428,52467,52642,53507,53853,54385,54422,54502,54519,54778,54961,55045,55093,55128,55192,55247,55333,55671,55688,55925,55929,55957,56011,56129,56419,56485,56504,56612,56789,56790,56854,57094,57135,57210,57265,57283,57305,57468,57477,57591,57635,57659,58130,58133,58294,58704,58714,58725,58882,58924,58982,58991,58996,59114,59659
Skin	SRP012682	972	50104,50106,50114,50115,50120,50125,50134,50139,50143,50161,50180,50183,50187,50191,50197,50198,50208,50215,50219,50257,50262,50265,50267,50268,50282,50292,50309,50315,50318,50327,50328,50339,50344,50346,50353,50357,50359,50362,50379,50381,50384,50387,50405,50407,50457,50469,50474,50492,50517,50534,50539,50541,50544,50551,50552,50553,50555,50557,50558,50575,50584,50595,50668,50672,50682,50683,50715,50719,50725,50731,50732,50777,50778,50789,50796,50821,50822,50830,50859,50860,50872,50889,50891,50899,50907,50909,50933,50937,50946,50952,50954,50980,50984,50992,50996,50997,51038,51039,51046,51064,51067,51076,51078,51080,51104,51113,51124,51126,51135,51137,51140,51186,51205,51233,51245,51250,51252,51257,51259,51260,51275,51282,51289,51304,51309,51324,51336,51351,51362,51363,51395,51396,51422,51443,51444,51468,51477,51483,51491,51495,51510,51523,51538,51543,51547,51551,51554,51559,51561,51562,51584,51585,51586,51616,51627,51628,51642,51650,51653,51679,51680,51687,51699,51700,51706,51719,51720,51723,51725,51726,51732,51743,51761,51773,51792,51801,51806,51811,51818,51834,51844,51846,51853,51886,51907,51918,51922,51930,51939,51950,51960,51971,51983,51987,51988,51998,52004,52010,52011,52012,52035,52114,52127,52130,52138,52148,52149,52160,52165,52168,52169,52184,52191,52207,52214,52215,52227,52233,52238,52241,52249,52261,52263,52273,52283,52291,52302,52315,52326,52340,52360,52363,52364,52368,52370,52383,52388,52410,52412,52413,52419,52422,52434,52441,52448,52452,52478,52482,52494,52495,52508,52512,52523,52545,52556,52561,52571,52573,52575,52585,52588,52593,52602,52603,52604,52615,52626,52635,52640,52641,52656,52666,52694,52695,52702,52710,52717,52735,52751,52754,52771,52794,52797,52811,52812,52823,52847,52853,52858,52877,52882,52894,52898,52900,52902,52928,52931,52953,52962,52974,52986,52990,53004,53012,53020,53022,53025,53029,53039,53073,53080,53095,53108,53112,53113,53128,53140,53164,53174,53179,53181,53183,53186,53193,53200,53218,53220,53227,53242,53244,53260,53265,53273,53278,53281,53282,53285,53291,53310,53311,53321,53347,53349,53373,53380,53390,53393,53409,53410,53446,53456,53465,53476,53492,53500,53504,53530,53541,53542,53545,53546,53548,53574,53579,53599,53607,53615,53638,53639,53640,53641,53646,53648,53657,53676,53693,53711,53714,53729,53734,53751,53761,53762,53771,53772,53800,53806,53825,53830,53838,53840,53842,53844,53852,53860,53865,53879,53881,53906,53917,53919,53924,53930,53933,53945,53948,53955,53967,53985,54020,54025,54046,54053,54056,54060,54068,54083,54086,54092,54103,54104,54128,54135,54158,54179,54185,54187,54190,54205,54207,54215,54223,54242,54248,54263,54268,54272,54280,54303,54323,54339,54341,54363,54364,54367,54368,54371,54372,54375,54379,54387,54390,54393,54396,54406,54417,54418,54423,54446,54455,54467,54470,54476,54477,54480,54490,54504,54508,54528,54536,54540,54560,54567,54579,54580,54584,54593,54608,54632,54665,54676,54703,54720,54739,54740,54744,54753,54757,54794,54804,54809,54814,54819,54849,54851,54859,54869,54881,54888,54893,54900,54907,54911,54918,54927,54941,54951,54968,54991,55003,55019,55030,55036,55046,55052,55054,55056,55069,55094,55098,55099,55100,55107,55112,55118,55135,55143,55151,55170,55180,55186,55191,55202,55204,55205,55210,55211,55219,55221,55229,55234,55238,55241,55260,55261,55262,55302,55314,55335,55357,55373,55402,55412,55413,55418,55435,55439,55455,55459,55467,55485,55499,55502,55508,55509,55511,55520,55524,55530,55543,55546,55548,55589,55598,55602,55603,55610,55620,55627,55643,55647,55653,55670,55675,55682,55734,55751,55756,55758,55770,55772,55775,55789,55798,55802,55821,55845,55854,55857,55861,55884,55902,55917,55920,55937,55938,55944,55955,55958,55967,55969,55974,55975,55985,55988,55989,56034,56036,56053,56060,56062,56065,56076,56080,56085,56090,56110,56117,56123,56127,56138,56141,56150,56151,56166,56170,56178,56181,56220,56249,56255,56257,56259,56269,56279,56292,56293,56295,56296,56298,56328,56347,56359,56360,56368,56380,56407,56410,56413,56430,56454,56460,56466,56472,56482,56489,56495,56499,56502,56506,56516,56533,56544,56574,56578,56584,56623,56627,56690,56692,56712,56720,56722,56742,56772,56778,56780,56783,56787,56795,56810,56817,56832,56836,56837,56841,56845,56863,56866,56909,56930,56944,56967,56968,56974,56979,56986,56997,57045,57053,57055,57056,57058,57059,57062,57063,57065,57072,57074,57089,57091,57100,57111,57119,57132,57164,57166,57171,57176,57182,57183,57221,57223,57225,57230,57256,57259,57260,57267,57288,57299,57325,57327,57354,57359,57375,57390,57401,57406,57416,57419,57420,57447,57456,57475,57476,57486,57487,57503,57523,57550,57553,57560,57569,57603,57606,57616,57624,57633,57640,57641,57668,57679,57682,57686,57690,57695,57707,57717,57721,57727,57733,57739,57741,57758,57773,57774,57777,57785,57807,57815,57818,57819,57832,57868,57869,57882,57914,57918,57932,57933,57936,57937,57943,57954,57959,57961,57963,57971,57972,57977,57982,57985,57989,58002,58019,58024,58027,58036,58067,58072,58074,58083,58096,58106,58114,58115,58122,58123,58173,58186,58190,58198,58202,58244,58253,58257,58263,58268,58273,58275,58298,58299,58302,58317,58318,58330,58331,58340,58350,58362,58366,58398,58442,58448,58476,58487,58493,58532,58533,58536,58544,58550,58556,58557,58583,58592,58593,58623,58628,58641,58648,58658,58659,58665,58674,58676,58683,58690,58692,58695,58697,58715,58719,58721,58728,58735,58736,58744,58771,58773,58778,58793,58814,58815,58835,58842,58870,58920,58939,58941,58943,58961,58971,58994,58998,59004,59024,59026,59037,59061,59076,59094,59109,59113,59136,59146,59173,59186,59202,59209,59222,59245,59265,59276,59277,59278,59288,59313,59314,59315,59317,59321,59322,59325,59339,59345,59395,59399,59400,59413,59435,59443,59444,59465,59468,59484,59516,59534,59554,59568,59573,59592,59600,59616,59625,59645,59653,59657,59672,59688,59691,59692,59702,59706,59711,59730,59731,59739,59749,59755,59760
Small_Intestine	SRP012682	104	50322,50481,50538,50540,50594,50616,50618,50935,51026,51193,51281,51330,51398,51496,51592,51785,52121,52192,52212,52365,52472,52489,52587,52598,52652,52780,52786,52800,52871,53154,53169,53199,53203,53250,53309,53352,53608,53623,53721,53780,53810,53816,53902,53903,54045,54154,54171,54350,54597,54660,54748,54764,54841,54855,54865,55078,55386,55393,55791,56025,56072,56240,56332,56394,56457,56687,56750,56932,56941,56957,57005,57020,57049,57066,57273,57360,57362,57563,57745,57979,58022,58124,58229,58280,58520,58543,58547,58638,58694,58696,58718,58914,58922,58986,58990,59148,59182,59233,59286,59340,59432,59513,59733,59746
Spleen	SRP012682	118	50358,50390,50393,50396,50515,50577,50605,50666,50767,50966,51034,51266,51285,51323,51337,51379,51461,51481,51601,51620,51626,51735,51884,51979,52225,52317,52373,52398,52425,52461,52618,52636,52810,52950,53131,53258,53270,53304,53427,53558,53722,53875,54189,54276,54290,54435,54500,54537,54552,54562,54604,54749,54756,54876,55338,55510,55545,55644,55771,55778,55836,55982,55996,56028,56186,56273,56350,56436,56440,56448,56450,56471,56534,56573,56662,56695,56781,56805,56843,56988,56996,57173,57214,57270,57371,57460,57712,57794,57803,57844,58004,58010,58012,58104,58126,58148,58282,58292,58363,58384,58559,58611,58691,58767,58904,58963,59068,59099,59165,59310,59387,59422,59425,59427,59589,59690,59714,59724
Stomach	SRP012682	203	50176,50216,50229,50247,50286,50483,50494,50536,50657,50783,50826,50940,50942,50950,51011,51015,51029,51033,51041,51055,51156,51181,51242,51299,51334,51480,51525,51549,51579,51595,51639,51675,51705,51826,51842,51877,51947,52016,52179,52236,52266,52267,52285,52288,52316,52375,52619,52726,52773,52814,52860,52885,52912,52952,52982,53088,53135,53176,53207,53243,53283,53303,53454,53561,53570,53748,53769,53773,53928,53944,54038,54115,54141,54145,54147,54173,54176,54200,54222,54232,54244,54265,54370,54373,54469,54471,54497,54544,54629,54729,54738,54761,54766,54868,54874,55150,55220,55288,55321,55473,55491,55547,55596,55641,55720,55727,55812,55860,55870,55871,55882,55907,55912,55921,55943,56009,56103,56142,56146,56156,56215,56280,56313,56327,56461,56470,56668,56759,56782,56956,56987,57017,57114,57140,57147,57165,57236,57266,57274,57294,57317,57330,57364,57418,57425,57429,57449,57453,57454,57472,57516,57578,57579,57755,57801,57808,58040,58097,58121,58200,58310,58377,58406,58409,58423,58441,58527,58548,58576,58661,58677,58830,58888,58900,58913,58946,58947,59007,59014,59032,59035,59050,59083,59104,59111,59144,59187,59251,59258,59291,59343,59354,59370,59380,59386,59434,59557,59670,59682,59683,59736,59737,59751
Testis	SRP012682	203	50100,50121,50206,50245,50271,50298,50338,50352,50458,50622,50660,50797,50807,50808,50831,50886,51066,51116,51148,51154,51191,51195,51335,51420,51426,51582,51597,51641,51682,51862,51955,51959,51965,51986,51995,52040,52101,52157,52234,52407,52565,52621,52643,52660,52667,52672,52705,52782,52836,52960,53084,53126,53138,53144,53190,53191,53201,53228,53239,53286,53287,53336,53355,53359,53428,53430,53473,53512,53524,53527,53540,53566,53683,53688,53718,53801,53804,53836,53912,53918,53920,54017,54082,54159,54170,54217,54219,54281,54357,54441,54478,54571,54640,54692,54719,54862,54903,54956,54971,54989,55025,55090,55130,55133,55134,55155,55198,55228,55286,55327,55340,55351,55406,55517,55634,55695,55705,55740,55790,55801,55840,55945,55959,56000,56024,56050,56064,56144,56168,56175,56203,56218,56229,56237,56319,56411,56591,56701,56734,56849,56889,56995,57034,57044,57138,57179,57194,57217,57224,57244,57413,57488,57619,57638,57672,57756,57850,57855,57909,57928,57958,58043,58056,58082,58120,58156,58221,58231,58285,58286,58289,58344,58390,58454,58468,58479,58489,58574,58600,58635,58688,58703,58727,58786,58852,58859,59046,59184,59230,59242,59283,59328,59346,59347,59375,59417,59421,59486,59495,59574,59723,59734,59742
Thyroid	SRP012682	361	50111,50135,50144,50155,50164,50193,50195,50253,50259,50261,50297,50333,50413,50421,50428,50431,50476,50496,50533,50561,50590,50592,50614,50628,50643,50652,50667,50685,50696,50710,50723,50730,50763,50805,50818,50837,50844,50892,50910,50911,50912,50941,50978,51095,51167,51222,51268,51288,51315,51389,51392,51401,51453,51493,51544,51563,51569,51571,51588,51615,51634,51666,51710,51713,51722,51724,51739,51787,51800,51835,51841,51855,51913,51935,51997,51999,52019,52033,52038,52064,52171,52206,52280,52313,52394,52417,52424,52444,52446,52463,52471,52488,52514,52516,52597,52620,52633,52645,52669,52674,52684,52692,52700,52706,52721,52722,52770,52778,52783,52866,52911,52940,52976,53001,53081,53094,53102,53145,53155,53159,53205,53212,53323,53334,53340,53377,53414,53436,53445,53450,53453,53462,53486,53535,53631,53652,53665,53685,53710,53755,53777,53835,53872,53887,53908,53993,54002,54006,54041,54111,54119,54152,54261,54279,54286,54362,54386,54411,54412,54413,54419,54432,54440,54442,54488,54496,54542,54556,54568,54589,54611,54621,54679,54684,54701,54706,54724,54725,54733,54785,54822,54828,54879,54921,54922,54939,54972,54990,54997,55055,55058,55149,55188,55214,55230,55305,55345,55356,55374,55392,55428,55437,55444,55466,55479,55489,55531,55533,55537,55542,55552,55588,55622,55661,55691,55780,55852,55865,55891,55899,55952,55973,55976,55977,56030,56105,56113,56133,56199,56223,56247,56277,56289,56301,56302,56317,56372,56393,56428,56481,56527,56550,56553,56559,56666,56681,56694,56792,56802,56816,56847,56872,56952,56955,56966,56972,56978,57007,57021,57086,57117,57121,57139,57157,57188,57216,57243,57277,57278,57284,57289,57292,57349,57355,57361,57408,57415,57417,57455,57458,57506,57512,57623,57651,57683,57726,57762,57770,57827,57830,57834,57835,57934,57991,57999,58103,58107,58113,58152,58157,58160,58215,58216,58218,58232,58252,58265,58266,58303,58333,58337,58376,58380,58387,58389,58419,58485,58488,58516,58519,58549,58615,58656,58702,58705,58710,58720,58722,58745,58754,58797,58804,58902,58928,58935,58999,59013,59080,59107,59139,59150,59190,59199,59212,59236,59249,59262,59349,59366,59369,59431,59446,59470,59528,59640,59643,59671,59675,59698,59725,59750
Uterus	SRP012682	90	50189,50498,50601,50690,50735,50855,50876,51061,51329,51332,51372,51668,51676,51736,51758,51779,51805,51946,51962,52028,52140,52318,52322,52519,52632,52659,52947,53015,53180,53198,53213,53222,53719,53744,53808,53894,53972,53980,53996,54164,54447,54511,54711,54811,55042,55066,55298,55395,55453,55640,55742,55855,55881,55968,56303,56312,56408,56432,56601,56603,56677,56767,56989,57347,57540,57574,57620,57791,57793,57870,57957,57998,58511,58673,58701,58723,58749,58881,58948,58975,59181,59284,59376,59390,59418,59527,59608,59632,59681,59716
Vagina	SRP012682	97	50334,50386,50708,50728,50824,51102,51166,51236,51300,51419,51484,51609,51672,51948,51994,52029,52538,52552,52653,52673,52805,52888,52957,52968,52994,53030,53055,53079,53262,53277,53290,53308,53629,53742,53803,53942,54125,54134,54168,54227,54236,54274,54359,54570,54670,54866,55102,55104,55257,55372,55470,55529,55700,55950,55983,56143,56204,56211,56251,56376,56496,56631,56725,56762,56814,56975,56980,57170,57295,57343,57391,57432,57470,57583,57704,57734,57737,58079,58119,58178,58279,58438,58738,58740,58777,58945,59010,59063,59064,59192,59219,59364,59372,59433,59665,59669,59703
